fileName,Date,numGens,notes
slp0.4_Rsk0.05_K100_var0.0_dslm0.8_rn372,03/08/2015,500,
slp0.4_Rsk0.05_K100_var0.1_dslm0.6_rn373,03/08/2015,500,
slp0.4_Rsk0.05_K100_var0.1_dslm0.8_rn374,03/08/2015,500,
slp0.4_Rsk0.05_K100_var0.2_dslm0.6_rn375,03/08/2015,500,
slp0.4_Rsk0.05_K100_var0.2_dslm0.8_rn376,03/08/2015,500,
slp0.4_Rsk0.05_K1000_var0.0_dslm0.6_rn377,03/08/2015,500,
slp0.4_Rsk0.05_K1000_var0.0_dslm0.8_rn378,03/08/2015,500,
slp0.4_Rsk0.05_K1000_var0.1_dslm0.6_rn379,03/08/2015,500,
slp0.4_Rsk0.05_K1000_var0.1_dslm0.8_rn380,03/08/2015,500,
slp0.4_Rsk0.05_K1000_var0.2_dslm0.6_rn381,03/08/2015,500,
slp0.4_Rsk0.05_K1000_var0.2_dslm0.8_rn382,03/08/2015,500,
slp0.4_Rsk0.1_K100_var0.0_dslm0.6_rn383,03/08/2015,500,
slp0.4_Rsk0.1_K100_var0.0_dslm0.8_rn384,03/08/2015,500,
slp0.4_Rsk0.1_K100_var0.1_dslm0.6_rn385,03/08/2015,500,
slp0.4_Rsk0.1_K100_var0.1_dslm0.8_rn386,03/08/2015,500,
slp0.4_Rsk0.1_K100_var0.2_dslm0.6_rn387,03/08/2015,500,
slp0.4_Rsk0.1_K100_var0.2_dslm0.8_rn388,03/08/2015,500,
slp0.4_Rsk0.1_K1000_var0.0_dslm0.6_rn389,03/08/2015,500,
slp0.4_Rsk0.1_K1000_var0.0_dslm0.8_rn390,03/08/2015,500,
slp0.4_Rsk0.1_K1000_var0.1_dslm0.6_rn391,03/08/2015,500,
slp0.4_Rsk0.1_K1000_var0.1_dslm0.8_rn392,03/08/2015,500,
slp0.4_Rsk0.1_K1000_var0.2_dslm0.6_rn393,03/08/2015,500,
