type,col_age,col_id,rank,die,food,disperse,no_off
juv,2,3,30,0,0.29025580236272391,NA,NA
juv,2,3,31,0,0.2752558023627239,NA,NA
juv,2,3,32,0,0.26025580236272389,NA,NA
juv,2,3,33,0,0.2452558023627239,NA,NA
juv,2,3,34,0,0.23025580236272389,NA,NA
juv,2,3,35,0,0.21525580236272387,NA,NA
juv,2,3,36,0,0.20025580236272392,NA,NA
juv,2,3,37,0,0.1852558023627239,NA,NA
juv,2,3,38,0,0.17025580236272389,NA,NA
juv,2,3,39,0,0.15525580236272388,NA,NA
Ad,2,3,0,0,0.6533831957735615,0,6
Ad,2,3,1,0,0.5867165291068949,0,6
Ad,2,3,2,0,0.5200498624402282,0,5
