pop_age,colony_ID,num_adsB4_dispersal,dispersers,col_space
2,186,1,0,171.0
2,187,1,0,172.0
2,188,1,0,173.0
2,189,1,0,174.0
2,190,1,0,175.0
2,191,1,0,176.0
2,192,1,0,177.0
2,193,1,0,178.0
2,194,1,0,179.0
2,195,1,0,180.0
2,196,1,0,181.0
2,197,1,0,182.0
2,198,1,0,183.0
2,199,1,0,184.0
2,200,1,0,185.0
2,201,1,0,186.0
2,202,1,0,187.0
2,203,1,0,188.0
2,204,1,0,189.0
2,205,1,0,190.0
2,206,1,0,191.0
2,207,1,0,192.0
2,208,1,0,193.0
2,209,1,0,194.0
2,210,1,0,195.0
2,211,1,0,196.0
2,212,1,0,197.0
2,213,1,0,198.0
2,214,1,0,199.0
2,215,1,0,200.0
3,2,66,0,2.0
3,3,132,0,3.0
3,4,198,0,4.0
3,5,264,0,5.0
3,6,330,0,6.0
3,7,396,0,7.0
3,8,924,0,8.0
3,9,1056,1056,9.0
3,10,1188,1188,10.0
3,11,1320,1320,11.0
3,43,2,0,1.0
3,44,2,0,29.0
3,45,2,0,30.0
3,46,2,0,31.0
3,47,2,0,32.0
3,48,2,0,33.0
3,49,2,0,34.0
3,50,2,0,35.0
3,51,2,0,36.0
3,52,2,0,37.0
3,53,2,0,38.0
3,54,2,0,39.0
3,55,2,0,40.0
3,56,2,0,41.0
3,57,2,0,42.0
3,58,2,0,43.0
3,59,2,0,44.0
3,60,2,0,45.0
3,61,2,0,46.0
3,62,2,0,47.0
3,63,2,0,48.0
3,64,2,0,49.0
3,65,2,0,50.0
3,66,2,0,51.0
3,67,2,0,52.0
3,68,2,0,53.0
3,69,2,0,54.0
3,70,2,0,55.0
3,71,2,0,56.0
3,72,2,0,57.0
3,73,2,0,58.0
3,74,2,0,59.0
3,75,2,0,60.0
3,76,2,0,61.0
3,77,2,0,62.0
3,78,2,0,63.0
3,79,2,0,64.0
3,80,2,0,65.0
3,81,2,0,66.0
3,82,2,0,67.0
3,83,2,0,68.0
3,84,2,0,69.0
3,85,2,0,70.0
3,86,2,0,71.0
3,87,2,0,72.0
3,88,2,0,73.0
3,89,2,0,74.0
3,90,2,0,75.0
3,91,2,0,76.0
3,92,2,0,77.0
3,93,2,0,78.0
3,94,2,0,79.0
3,95,2,0,80.0
3,96,2,0,81.0
3,97,2,0,82.0
3,98,2,0,83.0
3,99,2,0,84.0
3,100,2,0,85.0
3,101,2,0,86.0
3,102,1,0,87.0
3,103,1,0,88.0
3,104,1,0,89.0
3,105,1,0,90.0
3,106,1,0,91.0
3,107,1,0,92.0
3,108,1,0,93.0
3,109,1,0,94.0
3,110,1,0,95.0
3,111,1,0,96.0
3,112,1,0,97.0
3,113,1,0,98.0
3,114,1,0,99.0
3,115,1,0,100.0
3,116,1,0,101.0
3,117,1,0,102.0
3,118,1,0,103.0
3,119,1,0,104.0
3,120,1,0,105.0
3,121,1,0,106.0
3,122,1,0,107.0
3,123,1,0,108.0
3,124,1,0,109.0
3,125,1,0,110.0
3,126,1,0,111.0
3,127,1,0,112.0
3,128,1,0,113.0
3,129,1,0,114.0
3,130,1,0,115.0
3,131,1,0,116.0
3,132,1,0,117.0
3,133,1,0,118.0
3,134,1,0,119.0
3,135,1,0,120.0
3,136,1,0,121.0
3,137,1,0,122.0
3,138,1,0,123.0
3,139,1,0,124.0
3,140,1,0,125.0
3,141,1,0,126.0
3,142,1,0,127.0
3,143,1,0,128.0
3,144,1,0,129.0
3,145,1,0,130.0
